X;Y;Vtx;Vrx;Gain;;
0;0;3,588353931;3,189647938;0,888888889;;
0;1;3,588353931;3,189647938;0,888888889;;
0;2;3,588353931;3,189647938;0,888888889;;
0;3;3,588353931;3,189647938;0,888888889;;
0;4;3,588353931;3,189647938;0,888888889;;
0;5;3,588353931;3,189647938;0,888888889;;
0;6;3,588353931;3,189647938;0,888888889;;
0;7;3,588353931;3,189647938;0,888888889;;
0;8;3,588353931;3,189647938;0,888888889;;
0;9;3,588353931;3,189647938;0,888888889;;
0;10;3,588353931;3,189647938;0,888888889;;
0;11;3,588353931;3,189647938;0,888888889;;
0;12;3,588353931;3,167497605;0,882716049;;
0;13;3,588353931;3,189647938;0,888888889;;
0;14;3,588353931;3,167497605;0,882716049;;
0;15;3,588353931;3,189647938;0,888888889;;
0;16;3,588353931;3,189647938;0,888888889;;
0;17;3,588353931;3,189647938;0,888888889;;
0;18;3,588353931;3,167497605;0,882716049;;
1;0;3,588353931;3,256098937;0,907407407;;
1;1;3,588353931;3,256098937;0,907407407;;
1;2;3,588353931;3,256098937;0,907407407;;
1;3;3,588353931;3,256098937;0,907407407;;
1;4;3,588353931;3,256098937;0,907407407;;
1;5;3,588353931;3,256098937;0,907407407;;
1;6;3,588353931;3,256098937;0,907407407;;
1;7;3,588353931;3,256098937;0,907407407;;
1;8;3,588353931;3,233948604;0,901234568;;
1;9;3,588353931;3,256098937;0,907407407;;
1;10;3,588353931;3,256098937;0,907407407;;
1;11;3,588353931;3,189647938;0,888888889;;
1;12;3,588353931;3,233948604;0,901234568;;
1;13;3,588353931;3,256098937;0,907407407;;
1;14;3,588353931;3,256098937;0,907407407;;
1;15;3,588353931;3,256098937;0,907407407;;
1;16;3,588353931;3,256098937;0,907407407;;
1;17;3,588353931;3,256098937;0,907407407;; 
1;18;3,588353931;3,233948604;0,901234568;;
2;0;3,588353931;3,256098937;0,907407407;;
2;1;3,588353931;3,256098937;0,907407407;;
2;2;3,588353931;3,256098937;0,907407407;;
2;3;3,588353931;3,256098937;0,907407407;;
2;4;3,588353931;3,256098937;0,907407407;;
2;5;3,588353931;3,256098937;0,907407407;;
2;6;3,588353931;3,256098937;0,907407407;;
2;7;3,588353931;3,256098937;0,907407407;;
2;8;3,588353931;3,256098937;0,907407407;;
2;9;3,588353931;3,256098937;0,907407407;;
2;10;3,588353931;3,256098937;0,907407407;;
2;11;3,588353931;3,256098937;0,907407407;;
2;12;3,588353931;3,27824927;0,913580247;;
2;13;3,588353931;3,256098937;0,907407407;;
2;14;3,588353931;3,256098937;0,907407407;;
2;15;3,588353931;3,256098937;0,907407407;;
2;16;3,588353931;3,256098937;0,907407407;;
2;17;3,588353931;3,256098937;0,907407407;;
2;18;3,588353931;3,256098937;0,907407407;;
3;0;3,588353931;3,256098937;0,907407407;;
3;1;3,588353931;3,256098937;0,907407407;;
3;2;3,588353931;3,256098937;0,907407407;;
3;3;3,588353931;3,256098937;0,907407407;;
3;4;3,588353931;3,256098937;0,907407407;;
3;5;3,588353931;3,256098937;0,907407407;;
3;6;3,588353931;3,256098937;0,907407407;;
3;7;3,588353931;3,256098937;0,907407407;;
3;8;3,588353931;3,256098937;0,907407407;;
3;9;3,588353931;3,256098937;0,907407407;;
3;10;3,588353931;3,256098937;0,907407407;;
3;11;3,588353931;3,256098937;0,907407407;;
3;12;3,588353931;3,256098937;0,907407407;;
3;13;3,588353931;3,256098937;0,907407407;;
3;14;3,588353931;3,256098937;0,907407407;;
3;15;3,588353931;3,256098937;0,907407407;;
3;16;3,588353931;3,256098937;0,907407407;;
3;17;3,588353931;3,256098937;0,907407407;;
3;18;3,588353931;3,256098937;0,907407407;;
4;0;3,588353931;3,256098937;0,907407407;;
4;1;3,588353931;3,256098937;0,907407407;;
4;2;3,588353931;3,256098937;0,907407407;;
4;3;3,588353931;3,256098937;0,907407407;;
4;4;3,588353931;3,256098937;0,907407407;;
4;5;3,588353931;3,256098937;0,907407407;;
4;6;3,588353931;3,256098937;0,907407407;;
4;7;3,588353931;3,256098937;0,907407407;;
4;8;3,588353931;3,256098937;0,907407407;;
4;9;3,588353931;3,256098937;0,907407407;;
4;10;3,588353931;3,256098937;0,907407407;;
4;11;3,588353931;3,256098937;0,907407407;;
4;12;3,588353931;3,256098937;0,907407407;;
4;13;3,588353931;3,256098937;0,907407407;;
4;14;3,588353931;3,27824927;0,913580247;;
4;15;3,588353931;3,256098937;0,907407407;;
4;16;3,588353931;3,256098937;0,907407407;;
4;17;3,588353931;3,256098937;0,907407407;;
4;18;3,588353931;3,256098937;0,907407407;;
5;0;3,588353931;3,256098937;0,907407407;;
5;1;3,588353931;3,256098937;0,907407407;;
5;2;3,588353931;3,256098937;0,907407407;;
5;3;3,588353931;3,256098937;0,907407407;;
5;4;3,588353931;3,256098937;0,907407407;;
5;5;3,588353931;3,256098937;0,907407407;;
5;6;3,588353931;3,256098937;0,907407407;;
5;7;3,588353931;3,256098937;0,907407407;;
5;8;3,588353931;3,256098937;0,907407407;;
5;9;3,588353931;3,256098937;0,907407407;;
5;10;3,588353931;3,256098937;0,907407407;;
5;11;3,588353931;3,27824927;0,913580247;;
5;12;3,588353931;3,256098937;0,907407407;;
5;13;3,588353931;3,256098937;0,907407407;;
5;14;3,588353931;3,256098937;0,907407407;;
5;15;3,588353931;3,256098937;0,907407407;;
5;16;3,588353931;3,256098937;0,907407407;;
5;17;3,588353931;3,256098937;0,907407407;;
5;18;3,588353931;3,256098937;0,907407407;;
6;0;3,588353931;3,256098937;0,907407407;;
6;1;3,588353931;3,256098937;0,907407407;;
6;2;3,588353931;3,256098937;0,907407407;;
6;3;3,588353931;3,256098937;0,907407407;;
6;4;3,588353931;3,256098937;0,907407407;;
6;5;3,588353931;3,256098937;0,907407407;;
6;6;3,588353931;3,256098937;0,907407407;;
6;7;3,588353931;3,256098937;0,907407407;;
6;8;3,588353931;3,256098937;0,907407407;;
6;9;3,588353931;3,256098937;0,907407407;;
6;10;3,588353931;3,256098937;0,907407407;;
6;11;3,588353931;3,256098937;0,907407407;;
6;12;3,588353931;3,256098937;0,907407407;;
6;13;3,588353931;3,256098937;0,907407407;;
6;14;3,588353931;3,256098937;0,907407407;;
6;15;3,588353931;3,256098937;0,907407407;;
6;16;3,588353931;3,256098937;0,907407407;;
6;17;3,588353931;3,256098937;0,907407407;;
6;18;3,588353931;3,256098937;0,907407407;;
7;0;3,588353931;3,256098937;0,907407407;;
7;1;3,588353931;3,256098937;0,907407407;;
